Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,142.250000,142.860001,140.570007,141.369995,112.170662,94807600
2007-01-04,141.229996,142.050003,140.610001,141.669998,112.408730,69620600
2007-01-05,141.330002,141.399994,140.380005,140.539993,111.512123,76645300
2007-01-08,140.820007,141.410004,140.250000,141.190002,112.027855,71655000
2007-01-09,141.309998,141.600006,140.399994,141.070007,111.932663,75680100
2007-01-10,140.580002,141.570007,140.300003,141.539993,112.305557,72428000
2007-01-11,141.580002,142.619995,141.500000,142.160004,112.797501,54476800
2007-01-12,142.149994,143.240005,142.110001,143.240005,113.654419,55370600
2007-01-16,143.070007,143.440002,142.729996,142.960007,113.432297,44871300
2007-01-17,142.850006,143.460007,142.729996,143.020004,113.479942,50241400
2007-01-18,143.169998,143.259995,142.309998,142.539993,113.099045,68177300
2007-01-19,142.539993,143.100006,142.460007,142.820007,113.321190,56973000
2007-01-22,143.070007,143.100006,141.929993,142.380005,112.972061,60253600
2007-01-23,142.259995,143.080002,142.059998,142.800003,113.305344,54064400
2007-01-24,142.970001,143.979996,142.910004,143.949997,114.217796,55834700
2007-01-25,143.860001,143.919998,142.009995,142.259995,112.876839,73583800
2007-01-26,142.570007,142.649994,141.580002,142.130005,112.773705,67255600
2007-01-29,142.190002,142.800003,141.740005,142.050003,112.710251,66114600
2007-01-30,142.350006,142.860001,142.059998,142.789993,113.297386,70407600
2007-01-31,142.630005,144.130005,142.399994,143.750000,114.059097,91868600
2007-02-01,144.149994,144.660004,143.910004,144.610001,114.741478,69312400
2007-02-02,144.729996,144.949997,144.380005,144.809998,114.900177,49607000
2007-02-05,144.699997,144.940002,144.339996,144.850006,114.931900,45705300
2007-02-06,144.970001,145.029999,144.330002,144.889999,114.963646,57081300
2007-02-07,145.119995,145.360001,144.570007,145.210007,115.217567,55669700
2007-02-08,144.779999,145.119995,144.270004,145.020004,115.066788,70641000
2007-02-09,145.059998,145.330002,143.389999,143.940002,114.209869,79084400
2007-02-12,143.940002,144.039993,143.190002,143.449997,113.821083,65657000
2007-02-13,143.770004,144.899994,143.759995,144.660004,114.781181,64081800
2007-02-14,144.800003,145.899994,144.779999,145.610001,115.534935,66039400
2007-02-15,145.669998,145.949997,145.429993,145.800003,115.685707,38715200
2007-02-16,145.440002,145.759995,145.229996,145.729996,115.630127,39841800
2007-02-20,145.559998,146.199997,145.000000,146.039993,115.876091,56911800
2007-02-21,145.610001,146.070007,145.350006,145.979996,115.828529,63971600
2007-02-22,146.050003,146.419998,145.169998,145.869995,115.741203,79067400
2007-02-23,145.740005,145.789993,145.029999,145.300003,115.288925,71966200
2007-02-26,145.830002,145.949997,144.750000,145.169998,115.185806,69192800
2007-02-27,143.880005,144.199997,139.000000,139.500000,110.686928,274466500
2007-02-28,140.389999,141.979996,139.800003,140.929993,111.821556,177536300
2007-03-01,139.339996,141.250000,138.050003,140.509995,111.488327,212828600
2007-03-02,140.050003,140.660004,138.660004,138.669998,110.028343,162574000
2007-03-05,137.929993,139.580002,137.330002,137.350006,108.980995,143750400
2007-03-06,138.779999,140.119995,137.720001,139.699997,110.845604,143333300
2007-03-07,139.589996,140.460007,139.399994,139.559998,110.734550,115144900
2007-03-08,140.539993,141.160004,140.070007,140.740005,111.670815,117891600
2007-03-09,141.309998,141.419998,140.080002,140.779999,111.702560,107765100
2007-03-12,140.419998,141.339996,140.160004,140.990005,111.869156,80366900
2007-03-13,140.179993,140.770004,138.039993,138.250000,109.695099,190605200
2007-03-14,138.429993,139.360001,136.750000,139.279999,110.512360,231853800
2007-03-15,138.970001,139.990005,138.800003,139.470001,110.663116,132435900
2007-03-16,139.309998,139.630005,138.119995,138.529999,110.353256,121531600
2007-03-19,139.259995,140.330002,139.149994,140.199997,111.683571,96161200
2007-03-20,140.080002,141.050003,139.960007,140.970001,112.296944,82147400
2007-03-21,141.100006,143.649994,140.820007,143.289993,114.145020,152368700
2007-03-22,143.479996,143.679993,142.789993,143.179993,114.057434,118942200
2007-03-23,143.279999,143.809998,143.149994,143.389999,114.224739,74416800
2007-03-26,143.500000,143.649994,142.089996,143.199997,114.073372,113787500
2007-03-27,143.119995,143.160004,142.389999,142.860001,113.802513,99864600
2007-03-28,142.139999,142.470001,141.259995,141.820007,112.974083,152907900
2007-03-29,142.539993,142.610001,141.190002,141.970001,113.093536,139432700
2007-03-30,142.240005,142.839996,140.559998,142.000000,113.117424,128194100
2007-04-02,142.160004,142.460007,141.479996,142.160004,113.244896,79416400
2007-04-03,142.970001,143.979996,142.910004,143.690002,114.463692,82417800
2007-04-04,143.690002,143.949997,143.160004,143.850006,114.591164,63995200
2007-04-05,143.669998,144.440002,143.610001,144.240005,114.901810,46822800
2007-04-09,144.649994,144.800003,144.149994,144.440002,115.061157,50967400
2007-04-10,144.330002,144.850006,144.270004,144.610001,115.196579,56620000
2007-04-11,144.820007,144.860001,143.539993,144.020004,114.726578,106365700
2007-04-12,143.740005,144.919998,143.339996,144.660004,115.236450,115534400
2007-04-13,144.899994,145.320007,144.360001,145.320007,115.762161,84287000
2007-04-16,145.830002,146.860001,145.820007,146.699997,116.861443,83064600
2007-04-17,146.970001,147.399994,146.649994,147.089996,117.172112,108424100
2007-04-18,146.600006,147.699997,146.570007,147.270004,117.315544,88345300
2007-04-19,146.550003,147.399994,146.360001,147.229996,117.283653,102947700
2007-04-20,148.220001,148.619995,147.039993,148.619995,118.390915,124114100
2007-04-23,148.369995,148.729996,147.970001,148.059998,117.944832,77270800
2007-04-24,148.229996,148.399994,147.320007,148.119995,117.992653,114471000
2007-04-25,148.729996,149.660004,148.020004,149.479996,119.076035,108418800
2007-04-26,149.490005,149.800003,149.100006,149.649994,119.211456,88741600
2007-04-27,149.089996,149.740005,148.839996,149.529999,119.115883,108191100
2007-04-30,149.639999,149.740005,148.210007,148.289993,118.128059,100874100
2007-05-01,148.419998,149.470001,147.669998,148.669998,118.430756,134342700
2007-05-02,148.899994,149.949997,148.750000,149.539993,119.123810,87129800
2007-05-03,149.970001,150.399994,149.729996,150.350006,119.769096,86569700
2007-05-04,150.750000,151.119995,150.220001,150.919998,120.223137,96409000
2007-05-07,150.880005,151.199997,150.809998,150.949997,120.247009,63461400
2007-05-08,150.580002,150.919998,150.130005,150.750000,120.087715,80584000
2007-05-09,150.639999,152.820007,150.369995,151.160004,120.414337,102070100
2007-05-10,150.729996,151.020004,149.270004,149.580002,119.155647,153617800
2007-05-11,149.750000,150.929993,149.720001,150.860001,120.175323,113408900
2007-05-14,150.860001,151.300003,149.789993,150.529999,119.912483,108027500
2007-05-15,150.699997,151.660004,150.190002,150.570007,119.944336,180673300
2007-05-16,150.800003,151.630005,150.380005,151.600006,120.764839,114166500
2007-05-17,151.380005,151.960007,151.110001,151.300003,120.525856,101132800
2007-05-18,152.009995,152.619995,151.809998,152.619995,121.577393,99182000
2007-05-21,152.580002,153.229996,152.500000,152.539993,121.513603,174664600
2007-05-22,152.699997,153.160004,152.380005,152.419998,121.418007,82148800
2007-05-23,152.949997,153.500000,152.360001,152.440002,121.433998,133786600
2007-05-24,152.529999,153.210007,150.740005,151.059998,120.334656,187593000
2007-05-25,151.500000,152.020004,151.179993,151.690002,120.836525,83309200
2007-05-29,151.940002,152.500000,151.449997,152.240005,121.274658,82020000
2007-05-30,151.460007,153.539993,151.339996,153.479996,122.262405,129013600
2007-05-31,153.669998,153.889999,153.119995,153.320007,122.134987,114866700
2007-06-01,153.880005,154.399994,153.509995,154.080002,122.740402,107771700
2007-06-04,153.539993,154.389999,153.479996,154.100006,122.756325,78008800
2007-06-05,153.740005,153.899994,152.860001,153.490005,122.270409,126917900
2007-06-06,152.860001,152.949997,151.750000,151.839996,120.956032,164096800
2007-06-07,151.559998,152.500000,149.059998,149.100006,118.773338,232414600
2007-06-08,149.580002,151.190002,149.089996,151.039993,120.318695,175886000
2007-06-11,150.929993,151.949997,150.699997,151.300003,120.525856,102015600
2007-06-12,150.669998,151.539993,149.550003,149.649994,119.211456,233898000
2007-06-13,150.500000,152.070007,149.720001,151.889999,120.995842,193208200
2007-06-14,152.059998,153.119995,152.029999,152.860001,121.768547,146396500
2007-06-15,153.139999,153.660004,152.929993,153.070007,122.461388,154030800
